PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1000.0,115,16.4,13.5,83,9.81,260,2,289.6,317.3,291.3
995.0,158,16.0,10.0,68,7.80,262,2,289.6,311.8,290.9
925.0,773,10.2,9.1,93,7.90,290,2,289.7,312.3,291.1
920.0,818,9.9,8.9,93,7.85,310,2,289.9,312.4,291.3
913.0,882,9.6,8.7,94,7.79,316,4,290.2,312.5,291.6
887.0,1125,16.8,-4.2,23,3.17,340,10,300.1,309.9,300.6
850.0,1487,15.4,-4.6,25,3.21,15,19,302.3,312.4,302.9
804.0,1957,13.0,-9.0,21,2.42,1,25,304.6,312.4,305.0
787.0,2136,12.7,-16.9,11,1.30,355,27,306.1,310.5,306.4
756.0,2473,12.2,-31.8,3,0.36,352,26,309.1,310.4,309.2
751.0,2529,12.0,-36.0,2,0.24,351,26,309.5,310.4,309.5
700.0,3112,7.4,-32.6,4,0.36,345,25,310.6,312.0,310.7
582.0,4595,-5.1,-28.1,15,0.65,318,38,312.9,315.2,313.0
538.0,5208,-8.9,-46.9,3,0.10,307,43,315.4,315.9,315.5
530.0,5323,-9.8,-41.9,5,0.18,305,44,315.8,316.5,315.8
502.0,5740,-12.9,-23.9,39,1.11,310,42,316.9,320.8,317.1
500.0,5770,-13.1,-25.1,36,1.00,310,42,317.0,320.6,317.2
474.0,6175,-15.5,-34.5,18,0.44,307,41,318.9,320.5,319.0
470.0,6239,-16.1,-36.1,16,0.37,306,40,318.9,320.4,319.0
462.0,6367,-17.3,-36.1,18,0.38,305,40,319.0,320.4,319.1
426.0,6970,-23.1,-36.1,29,0.41,288,48,319.1,320.6,319.2
414.0,7179,-23.5,-34.5,36,0.50,282,51,321.2,323.1,321.3
400.0,7430,-24.9,-35.9,35,0.45,275,55,322.5,324.2,322.6
388.0,7651,-25.7,-41.7,21,0.25,274,58,324.3,325.3,324.4
315.0,9109,-38.7,-50.6,27,0.12,265,80,326.2,326.7,326.2
300.0,9450,-41.7,-52.7,29,0.10,260,82,326.5,326.9,326.5
263.0,10327,-49.4,-59.5,30,0.05,255,78,327.7,327.9,327.8
258.0,10455,-50.5,-60.5,30,0.04,257,78,327.9,328.1,327.9
250.0,10660,-51.9,-61.9,29,0.04,260,78,328.8,328.9,328.8
239.0,10950,-54.1,-64.1,28,0.03,265,70,329.8,329.9,329.8
233.0,11114,-55.3,-65.3,28,0.03,270,73,330.3,330.4,330.3
217.0,11572,-52.5,-71.5,8,0.01,279,84,341.4,341.5,341.4
209.0,11815,-53.3,-79.3,3,0.00,284,89,343.9,343.9,343.9
208.0,11846,-53.3,-80.0,2,0.00,285,90,344.4,344.4,344.4
200.0,12100,-52.9,-85.9,1,0.00,285,90,348.8,348.8,348.8
184.0,12638,-53.5,-86.5,1,0.00,281,77,356.3,356.3,356.3
180.0,12777,-54.3,-87.1,1,0.00,280,73,357.1,357.1,357.1
152.0,13846,-60.8,-91.9,1,0.00,280,83,363.8,363.8,363.8
150.0,13930,-61.3,-92.3,1,0.00,280,82,364.3,364.3,364.3
146.0,14097,-62.7,-92.7,1,0.00,280,78,364.7,364.7,364.7
137.0,14493,-60.1,-91.1,1,0.00,280,68,375.9,376.0,375.9
132.0,14720,-61.6,-92.1,1,0.00,280,62,377.2,377.2,377.2
113.0,15672,-68.0,-96.4,1,0.00,300,45,382.5,382.5,382.5
110.0,15836,-69.1,-97.1,1,0.00,299,47,383.4,383.4,383.4
102.0,16286,-71.3,-99.3,1,0.00,295,53,387.5,387.5,387.5
100.0,16403,-71.3,-99.3,1,0.00,295,53,389.7,389.7,389.7
70.0,18560,-62.9,-92.9,1,0.00,300,15,449.5,449.5,449.5
50.0,20600,-62.3,-92.3,1,0.00,315,14,496.2,496.3,496.2
30.0,23790,-56.9,-88.9,1,0.00,270,33,588.9,589.0,588.9
20.0,26390,-49.9,-83.9,1,0.02,315,21,682.7,682.9,682.7
